pc_time_s,arduino_us,raw,volts
0.0032491683959960938,643918780,920,4.496578690127077
0.0035681724548339844,1643920780,921,4.501466275659824
0.0042972564697265625,1643922780,922,4.506353861192571
0.004403114318847656,1643924780,922,4.506353861192571
0.005899906158447266,1643926780,920,4.496578690127077
0.0059931278228759766,1643928780,921,4.501466275659824
0.006086111068725586,1643930780,920,4.496578690127077
0.0062372684478759766,1643932780,920,4.496578690127077
0.006425142288208008,1643934780,921,4.501466275659824
0.00672602653503418,1643936780,921,4.501466275659824
0.0068089962005615234,1643938780,921,4.501466275659824
0.0072591304779052734,1643940780,921,4.501466275659824
0.007501125335693359,1643942780,921,4.501466275659824
0.009070158004760742,1643944780,920,4.496578690127077
0.009145975112915039,1643946780,921,4.501466275659824
0.009223222732543945,1643948780,921,4.501466275659824
0.009360074996948242,1643950780,921,4.501466275659824
0.00943303108215332,1643952780,920,4.496578690127077
0.00999307632446289,1643954780,921,4.501466275659824
0.010071992874145508,1643956780,921,4.501466275659824
0.011323213577270508,1643958780,920,4.496578690127077
0.011903047561645508,1643960780,921,4.501466275659824
0.011980056762695312,1643962780,921,4.501466275659824
0.012053966522216797,1643964780,920,4.496578690127077
0.012412071228027344,1643966780,920,4.496578690127077
0.01247715950012207,1643968780,920,4.496578690127077
0.012541055679321289,1643970780,921,4.501466275659824
0.012603044509887695,1643972780,921,4.501466275659824
0.012663125991821289,1643974780,920,4.496578690127077
0.012729167938232422,1643976780,920,4.496578690127077
0.012797117233276367,1643978780,920,4.496578690127077
0.012863874435424805,1643980780,920,4.496578690127077
0.012991905212402344,1643982780,921,4.501466275659824
0.01305699348449707,1643984780,921,4.501466275659824
0.013119935989379883,1643986780,921,4.501466275659824
0.01318216323852539,1643988780,920,4.496578690127077
0.013245105743408203,1643990780,920,4.496578690127077
0.013306140899658203,1643992780,920,4.496578690127077
0.013363838195800781,1643994780,921,4.501466275659824
0.013422012329101562,1643996780,921,4.501466275659824
0.01349020004272461,1643998780,921,4.501466275659824
0.013547897338867188,1644000780,921,4.501466275659824
0.013605117797851562,1644002780,920,4.496578690127077
0.013662099838256836,1644004780,921,4.501466275659824
0.013720035552978516,1644006780,921,4.501466275659824
0.013777017593383789,1644008780,921,4.501466275659824
0.013833999633789062,1644010780,921,4.501466275659824
0.013892173767089844,1644012780,921,4.501466275659824
0.013956069946289062,1644014780,920,4.496578690127077
0.014014244079589844,1644016780,920,4.496578690127077
0.014070987701416016,1644018780,921,4.501466275659824
0.01412820816040039,1644020780,922,4.506353861192571
0.014185905456542969,1644022780,921,4.501466275659824
0.01424407958984375,1644024780,921,4.501466275659824
0.014301061630249023,1644026780,921,4.501466275659824
0.014356851577758789,1644028780,921,4.501466275659824
0.014419078826904297,1644030780,921,4.501466275659824
0.01447606086730957,1644032780,921,4.501466275659824
0.014533042907714844,1644034780,921,4.501466275659824
0.014590263366699219,1644036780,921,4.501466275659824
0.014646053314208984,1644038780,920,4.496578690127077
0.014703035354614258,1644040780,920,4.496578690127077
0.014759063720703125,1644042780,920,4.496578690127077
0.01481485366821289,1644044780,921,4.501466275659824
0.014875173568725586,1644046780,921,4.501466275659824
0.014934062957763672,1644048780,920,4.496578690127077
0.014990091323852539,1644050780,921,4.501466275659824
0.015047073364257812,1644052780,921,4.501466275659824
0.015102863311767578,1644054780,921,4.501466275659824
0.015160083770751953,1644056780,921,4.501466275659824
0.01521611213684082,1644058780,921,4.501466275659824
0.015273094177246094,1644060780,921,4.501466275659824
0.015389204025268555,1644062780,920,4.496578690127077
0.015480995178222656,1644064780,921,4.501466275659824
0.015552043914794922,1644066780,921,4.501466275659824
0.015621185302734375,1644068780,921,4.501466275659824
0.015684127807617188,1644070780,921,4.501466275659824
0.015755891799926758,1644072780,921,4.501466275659824
0.015835046768188477,1644074780,921,4.501466275659824
0.0159149169921875,1644076780,921,4.501466275659824
0.015977144241333008,1644078780,920,4.496578690127077
0.01604604721069336,1644080780,921,4.501466275659824
0.01610589027404785,1644082780,922,4.506353861192571
0.016167163848876953,1644084780,921,4.501466275659824
0.016317129135131836,1644086780,921,4.501466275659824
0.016381263732910156,1644088780,920,4.496578690127077
0.016440153121948242,1644090780,921,4.501466275659824
0.01649928092956543,1644092780,921,4.501466275659824
0.016558170318603516,1644094780,921,4.501466275659824
0.016625165939331055,1644096780,921,4.501466275659824
0.01668405532836914,1644098780,920,4.496578690127077
0.016743183135986328,1644100780,920,4.496578690127077
0.016802072525024414,1644102780,920,4.496578690127077
0.016865968704223633,1644104780,921,4.501466275659824
0.01692509651184082,1644106780,921,4.501466275659824
0.0169830322265625,1644108780,920,4.496578690127077
0.01704692840576172,1644110780,921,4.501466275659824
0.01711106300354004,1644112780,920,4.496578690127077
0.01716923713684082,1644114780,921,4.501466275659824
0.0172269344329834,1644116780,921,4.501466275659824
0.017287254333496094,1644118780,920,4.496578690127077
0.017343997955322266,1644120780,921,4.501466275659824
0.017402172088623047,1644122780,921,4.501466275659824
0.017459869384765625,1644124780,920,4.496578690127077
0.017518043518066406,1644126780,921,4.501466275659824
0.01758098602294922,1644128780,921,4.501466275659824
0.017642974853515625,1644130780,920,4.496578690127077
0.017702102661132812,1644132780,921,4.501466275659824
0.017760038375854492,1644134780,920,4.496578690127077
0.017820119857788086,1644136780,920,4.496578690127077
0.017882108688354492,1644138780,921,4.501466275659824
0.017940282821655273,1644140780,921,4.501466275659824
0.01799798011779785,1644142780,920,4.496578690127077
0.01805710792541504,1644144780,921,4.501466275659824
0.018119096755981445,1644146780,921,4.501466275659824
